identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore,Coremeasure
1.1.3,Réaliser un diagnostic de vulnérabilité et s’engager dans un programme d'adaptation au changement climatique du territoire,"La collectivité analyse les impacts potentiels du changement climatique et la vulnérabilité de son territoire et s’engage dans une démarche d’adaptation.

Les sujets abordés sont par exemple :

-   gestion des risques (inondation, érosion, etc.), en lien avec les Plans de Prévention des Risques par exemple
    
-   adaptation des normes constructives (confort d'été) et lutte contre les îlots de chaleur
    
-   sécurité de la population et des touristes
    
-   sécheresse, feux de forêt
    
-   limitation du recours à la climatisation des bâtiments
    
-   impact sur l’approvisionnement en eau et plus généralement sur les réseaux d’eau
    
-   impact sur les activités agricoles, industrielles et touristiques
    
-   impact sur les moyens de production d’énergie conventionnels et renouvelables
    

Ces sujets sont abordés avec les acteurs locaux et les conclusions sont intégrées dans la stratégie climat-air-énergie de la collectivité.","**Contexte et enjeux**

Les observations confirment que le territoire français est déjà impacté par le changement climatique depuis plusieurs décennies, notamment par un réchauffement de la température moyenne annuelle. Les modèles climatiques indiquent que ces tendances vont se poursuivre. Il n’y a pas un domaine ni un secteur d’activité qui n’en ressentira les effets.

Afin de s'y préparer au mieux, chaque acteur (public, privé, économique, social, …) va devoir analyser l'impact des changements du climat sur son activité. Cette analyse doit permettre de mettre en place un plan des actions pour diminuer sa vulnérabilité face aux changements attendus et d’accroître la robustesse climatique des systèmes socioéconomiques et naturels.

L’adaptation à des échelles locales revêt alors un caractère primordial. Au-delà de leurs obligations légales, les communes et collectivités locales ont un rôle certain à jouer dans l’amélioration des connaissances des impacts et vulnérabilités au niveau local tout comme dans la mise en œuvre des actions d’adaptation.

Afin de réduire les émissions de gaz à effet de serre responsables du changement climatique, la France s’engage à travers sa stratégie nationale bas carbone (SNBC) à :

• atteindre la neutralité carbone à l’horizon 2050 ;

• diminuer le taux d’émission de 40 % à l’horizon 2030 par rapport à 1990

**Réglementation**

Arrêté du 4 août 2016 relatif au plan climat-air-énergie territorial

-   Article 1.I. Diagnostic territorial

6° Une analyse de la vulnérabilité du territoire aux effets du changement climatique

-   Article 1.III. Programme d'actions

Article 75 de la loi Grenelle II :

Depuis 2012, les plans climat réglementaires doivent intégrer des objectifs stratégiques et opérationnels afin d'atténuer et de lutter efficacement contre le réchauffement climatique et de s'y adapter.

Article 1 du décret n°2011-618 relatif au SRCAE/SRADDET

Les SRCAE/SRADDET contiennent une analyse de la vulnérabilité de la région aux effets des changements climatiques, qui identifie les territoires et les secteurs d’activités les plus vulnérables et définit les enjeux d’adaptation auxquels ils devront faire face.

Article L110 du code de l’urbanisme

L’action des collectivités en matière d’urbanisme doit contribuer à la lutte contre le changement climatique et à l'adaptation à ce changement.","**14 Fiches de retours d'expérience de projets de Solutions d'adaptation fondée sur la Nature**

(Édition 2023)

Ces 14 fiches de retours d'expérience présentent des projets de SafN mis en œuvre en France (métropolitaine et départements d'Outre-mer) dans différents milieux (urbains, forestiers, agricoles, etc.) et qui visent à mieux adapter le territoire aux impacts du changement climatique (inondations, îlot de chaleur, etc.).

Ces fiches rappellent notamment, le contexte dans lequel s'inscrivent les solutions déployées, leurs objectifs et le budget alloué. Elles précisent également les actions concrètement mises en œuvre et le calendrier associé, la gouvernance adoptée, les bénéfices et apports du projet.

[https://www.ofb.gouv.fr/sites/default/files/2023-01/Fiches\_REX\_SafN\_ARTISAN\_19.01.2023.pdf](https://www.ofb.gouv.fr/sites/default/files/2023-01/Fiches_REX_SafN_ARTISAN_19.01.2023.pdf)

**Vidéos et fiches des lauréats des trophées de l’adaptation au changement climatique Life ARTISAN**

Le projet Life intégré ARTISAN - Accroître la Résilience des Territoires au changement climatique par l’Incitation aux Solutions d’adaptation fondées sur la Nature (SafN) - a été élaboré pour développer une synergie entre l’adaptation au changement climatique et la préservation de la biodiversité.

[https://www.trophees-adaptation-life-artisan.com/1ere-edition/](https://www.trophees-adaptation-life-artisan.com/1ere-edition/)

-   Lorient Agglomération

Fiche : [https://www.trophees-adaptation-life-artisan.com/wp-content/uploads/2022/03/TROPHEE\_LIFE\_ARTISAN\_FICHE\_LORIENT.pdf](https://www.trophees-adaptation-life-artisan.com/wp-content/uploads/2022/03/TROPHEE_LIFE_ARTISAN_FICHE_LORIENT.pdf)

Vidéo : [https://www.youtube.com/watch?v=x3D1teP2x9Y](https://www.youtube.com/watch?v=x3D1teP2x9Y)

-   Echirolles

Fiche : [https://www.trophees-adaptation-life-artisan.com/wp-content/uploads/2022/03/TROPHEE\_LIFE\_ARTISAN\_FICHE\_ECHIROLLES.pdf](https://www.trophees-adaptation-life-artisan.com/wp-content/uploads/2022/03/TROPHEE_LIFE_ARTISAN_FICHE_ECHIROLLES.pdf)

Vidéo : [https://www.youtube.com/watch?v=NVDlQ4KCHnk](https://www.youtube.com/watch?v=NVDlQ4KCHnk)

**33 fiches « Actions d’adaptation au changement climatique », ADEME**

Ce dossier comprend 33 fiches décrivant des actions d'adaptation au changement climatique.

Chaque fiche décrit : l'enjeu d'adaptation au changement climatique, l'action mise en œuvre, les bénéfices de l'action pour la collectivité ou l'acteur porteur de l'action, et les enseignements utiles pour d'autres territoires et acteurs.

[https://www.ademe.fr/actions-dadaptation-changement-climatique-france-aujourdhui](https://www.ademe.fr/actions-dadaptation-changement-climatique-france-aujourdhui)

**Appel à manifestation d’intérêt (AMI) Objectif ZAN - Zéro Artificialisation nette**

22 territoires expérimentent des leviers d’action contre l’artificialisation des sols

Dont : Communauté de communes du Thouarsais (79) ; Métropole Nice Cote d’Azur (06) ; Communauté de Communes de Mad et Moselle (54) ; Communauté d’Agglomération Rennes Métropole (35) ; Pôle Métropolitain Nantes-St Nazaire (44).

[https://experimentationsurbaines.ademe.fr/](https://experimentationsurbaines.ademe.fr/ )

La loi Climat et Résilience place désormais les territoires au cœur des enjeux de lutte contre l’artificialisation des sols avec deux échéances : une réduction par deux du rythme de consommation des sols d’ici 10 ans et un objectif de ZAN à l’horizon 2050.

L’Ademe vise à travers cet AMI de mener une expérimentation au sein des territoires retenus afin d’impulser une véritable dynamique de lutte contre l’artificialisation des sols, « par le partage des connaissances et des retours d’expérience, permettant d’essaimer ensuite les actions sur d’autres territoires ». Pour mener à bien cette expérimentation, l’Agence de la transition écologique mobilisera 1,8 millions d’euros pour apporter un soutien technique et financier à ces territoires. Elle les accompagnera dans la définition de leur trajectoire ZAN et à son intégration dans les divers plans et documents d’urbanisme (SRADDET, SCoT, PLUi).

**Grand Lyon**

Projet Ville Perméable

[https://www.grandlyon.com/fileadmin/user\_upload/media/pdf/eau/20170926\_guide-projet-ville-permeable.pdf](https://www.grandlyon.com/fileadmin/user_upload/media/pdf/eau/20170926_guide-projet-ville-permeable.pdf)","**Outils :**

**Démarche TACCT - Trajectoires d'adaptation au changement climatique des territoires**

Elle permet d'élaborer une politique d'adaptation au changement climatique de « A à Z », du diagnostic jusqu'au suivi des mesures et à l'évaluation de la stratégie : [https://tacct.ademe.fr](https://tacct.ademe.fr)

**Documents et web :**

Centre de ressources pour l'adaptation au changement climatique :

[https://www.adaptation-changement-climatique.gouv.fr](https://www.adaptation-changement-climatique.gouv.fr)

ADEME, CEARC - L'adaptation au changement climatique dans les PCAET, 2021

[https://librairie.ademe.fr/changement-climatique-et-energie/5027-l-adaptation-au-changement-climatique-dans-les-pcaet.html](https://librairie.ademe.fr/changement-climatique-et-energie/5027-l-adaptation-au-changement-climatique-dans-les-pcaet.html)",8,,,"<p>Pas de réduction de potentiel</p>
","Cette action concerne l'analyse des impacts et la définition d’une stratégie générale. Les mesures concrètes d'adaptation au changement climatique sont détaillées et évaluées (mises en oeuvre) dans les actions sectorielles pertinentes, et notamment dans les actions :

-   1.3.1 et 1.3.2. « Utiliser les documents d'urbanisme pour assurer la mise en oeuvre des objectifs climat-air-énergie » et « Être exemplaire dans les opérations d'aménagement » concernant les préconisations de végétalisation
    
-   Actions du domaine 2 concernant l’isolation et le confort d'été des bâtiments publics
    
-   2.3.2, 3.3.1, 3.3.3 concernant les économies d’eau et la gestion des eaux pluviales
    
-   Actions du domaine 4 concernant l’ombrage des cheminements piétons et des stationnements
    
-   Actions concernant l’agriculture (6.4.1), la forêt (6.4.2), la biodiversité (3.3.4), le tourisme (6.3.2)
    

Articulation commune - EPCI : Une étude réalisée à une échelle supra-communale peut être valorisée si la collectivité y a participé ou si elle se l'est appropriée.",,,,,,,,,,x
1.1.3.1,Formaliser l’intérêt de la collectivité dans sa volonté de réduire la vulnérabilité du territoire au changement climatique,,,,,,10,bases,,,,,,,,,,,,
1.1.3.1.1,"Prendre en compte les études réalisées au niveau régional ou interrégional (SRCAE/SRADDET, études MEDCIE ou autre), voire national (PNACC2)",,,,,,,,,,,,,,,,,,,
1.1.3.1.2,Allouer un budget et/ou des moyens humains,,,,,,,,,,,,,,,,,,,
1.1.3.2,Connaître la vulnérabilité du territoire au changement climatique,"Cette étude justifie des entretiens avec les acteurs du territoire (secteurs du bâtiment, de la santé, du tourisme, de l’agriculture et de la forêt, syndicats et gestionnaires d’infrastructures et réseaux d’eau, d’énergie, de transport, etc.) et n’est pas seulement réalisée à partir de bibliographie.

Les impacts du changement climatique sur le territoire, observés et potentiels, sont hiérarchisés (sensibilité X exposition).",,,,,10,mise en œuvre,,,,,,,,,,,,
1.1.3.2.1,Connaître les évolutions climatiques du territoire,,,,,,,,,,,,,,,,,,,
1.1.3.2.2,Connaître les impacts économiques du changement climatique sur le territoire,,,,,,,,,,,,,,,,,,,
1.1.3.2.3,Connaître les impacts sociaux du changement climatique sur le territoire,,,,,,,,,,,,,,,,,,,
1.1.3.2.4,Connaître les impacts en termes de biodiversité,,,,,,,,,,,,,,,,,,,
1.1.3.2.5,"Connaître les impacts sur les réseaux : eau, assainissement, approvisionnement en énergie",,,,,,,,,,,,,,,,,,,
1.1.3.2.6,Connaître les impacts sur l’aménagement : îlots de chaleurs urbains,,,,,,,,,,,,,,,,,,,
1.1.3.3,Adopter un programme d’actions d’adaptation et intégrer les effets du changement climatique dans les compétences et les politiques de la collectivité,"La prise en compte de l’adaptation au changement climatique dans des actions opérationnelles plus précises est évaluée dans les mesures dédiées (opérations d’aménagement, bâtiments publics, eaux pluviales…).",,,,,40,mise en œuvre,,,,,,,,,,,,
1.1.3.3.1,Définir un programme d’actions spécifique ou intégrer de façon transversale forte l’adaptation dans le programme d’actions climat-air-énergie,,,,,,,,,,,,,,,,,,,
1.1.3.3.2,Valoriser l’étude de vulnérabilité et communiquer en priorité auprès des acteurs leviers de changement,,,,,,,,,,,,,,,,,,,
1.1.3.3.3,Intégrer les éléments de résilience climatique dans les documents de planification structurants,,,,,,,,,,,,,,,,,,,
1.1.3.4,Mettre en place un pilotage opérationnel de suivi et d’évaluation de la politique territoriale d’adaptation au changement climatique,,,,,,40,effets,,,,,,,,,,,,
1.1.3.4.1,Structurer et mettre en œuvre une démarche de suivi-évaluation,,,,,,,,,,,,,,,,,,,
1.1.3.4.2,Réaliser une revue de suivi périodique pour mesurer les progrès et l’état d’avancement de la politique d’adaptation au changement climatique,,,,,,,,,,,,,,,,,,,
1.2,Planification sectorielle,,,,,,,,,,,,,,,,,,,
1.2.1,Mettre en place un schéma directeur des énergies et des réseaux de chaleur,"La collectivité dispose d’une programmation énergétique (schéma directeur des énergies), à l’échelle territoriale, avec des indications et stratégies concrètes pour :

-   réduire la consommation et améliorer l'efficacité énergétique ;
    
-   mettre en œuvre l'ensemble du potentiel de production d'énergie renouvelable locale nécessaire pour remplir les objectifs du territoire ;
    
-   augmenter l'utilisation des énergies renouvelables (plan de développement des énergies renouvelables, schéma de développement éolien …) ;
    
-   développer les réseaux de chaleur/froid renouvelable et de récupération (schéma directeur de réseau de chaleur) ;
    
-   réduire les émissions de gaz à effet de serre associées aux consommations et productions énergétiques ;
    
-   coordonner les différentes démarches sectorielles et notamment la planification urbaine ;
    
-   limiter, voire éviter dans les zones sensibles, les antagonismes avec les objectifs de préservation de la qualité de l'air.
    

La programmation énergétique comporte une cartographie consignant les secteurs géographiques de développement prioritaires des énergies renouvelables ou de récupération de chaleur (production ou approvisionnement par un réseau de chaleur).

Cette programmation est dotée d'un dispositif de suivi/contrôle avec des objectifs.","**Contexte et enjeux**

La programmation énergétique est le passage entre l’élaboration d’une vision prospective du territoire et sa mise en œuvre. Au regard des résultats de l’état des lieux et des potentiels de développement, la collectivité doit établir les objectifs et secteurs prioritaires de développement des énergies renouvelables ou de récupération de chaleur. Le schéma directeur des énergies enrichit et précise les objectifs des actions d’un PCAET ou d’une démarche TEPOS en matière de production et de distribution énergétique, tout en intégrant les enjeux de réduction des consommations. Le schéma directeur énergie est une démarche volontaire.

Par ailleurs, les réseaux de chaleur sont un vecteur incontournable de valorisation de la chaleur renouvelable dans les bâtiments. Leur taux moyen de plus de 50% d’utilisation des énergies renouvelables ou de récupération au niveau national peut encore progresser fortement et ils disposent d’une marge de développement importante pour alimenter plus de bâtiments (création de petits réseaux en zones rurales, extension et densification de réseaux existants en zones urbaines). Les réseaux de chaleur sont dotés d’une efficacité énergétique très élevée (rendements instantanés supérieurs à 90%), au contraire des petites chaufferies collectives et surtout individuelles. Ils permettent une maîtrise des rendements des installations de production et des émissions polluantes et un suivi/une réduction des émissions de CO2 (meilleure combustion et énergies renouvelables) mais aussi offrent un service de livraison de chaleur compétitif et stable sur du long terme. La collectivité doit donc impérativement en étudier la faisabilité et, le cas échéant, prévoir leur réalisation ou leur extension dans sa programmation. Le schéma directeur des réseaux de chaleur est obligatoire pour bénéficier des aides de l’ADEME.

**Réglementation**

Loi de transition énergétique pour la croissance verte (17 août 2015) : Schémas directeurs de réseaux de chaleur et de froid pour les collectivités compétentes (concerne uniquement l'extension et la densification d'un réseau existant) ; compétence donnée aux communes (ou aux établissements publics auxquels elles la transfèrent) en matière de création et d’exploitation d’un réseau public de chaleur ou de froid

D'autre part, plusieurs objectifs chiffrés à l'échelle nationale sont proposés pour les années à venir (article 1), parmi lesquels figure notamment l'ambition de multiplier par 5 la quantité de chaleur et de froid distribuée par les réseaux de chaleur et de froid d'ici 2030.

Grenelle II - art.23 et 25 : élaboration par le gestionnaire du réseau public de transport de l'énergie d'un ""schéma régional de raccordement au réseau des énergies renouvelables"", en relation avec le ""schéma régional du climat, de l’air et de l’énergie"" (SRCAE/SRADDET).

Instruction du 26 Mai 2021 relative à la planification territoriale et à l'instruction des projets éoliens. Cette instruction vise à rappeler l’importance de développer l’éolien et la position de l’État à ce sujet. Elle demande aux Préfets de région de réaliser une cartographie des zones favorables au développement de l’éolien afin de sécuriser l’atteinte des objectifs de la PPE et la généralisation des pôles éoliens.

Décret n°2022-666 du 26 avril 2022 relatif au classement des réseaux de chaleur et de froid. La procédure de classement d'un réseau de chaleur ou de froid codifiée au livre VII du code de l'énergie contribue à la réalisation des engagements, notamment européens, de la France en matière de développement des énergies renouvelables et de lutte contre les émissions de gaz à effet de serre. Elle vise à encourager le développement des réseaux de chaleur ou de froid alimentés par des énergies renouvelables ou de récupération, telles que la biomasse, le solaire thermique, la géothermie ou la récupération de l'énergie fatale. Le classement est obligatoire pour les réseaux sous le statut de service public.

La partie réglementaire du code l'urbanisme est modifiée afin de tirer les conséquences du classement des réseaux de chaleur. Il crée une nouvelle disposition du règlement national d'urbanisme, applicable sur l'ensemble du territoire et dite d'ordre public, permettant de refuser une autorisation d'urbanisme ou de l'assortir de prescriptions lorsque le projet ne respecte pas les obligations de raccordement à un réseau de chaleur ou de froid auxquels il est soumis en application du code de l'énergie.

Loi n° 2023-175 du 10 mars 2023 relative à l'accélération de la production d'énergies renouvelables. Les communes ont la possibilité de définir, en concertation avec leurs habitants, des zones d'accélération dédiées à l'implantation prioritaire de projets d'énergies renouvelables. Pour faciliter l'intégration de ces zones d'accélération dans les documents de planification, les collectivités peuvent les inclure dans leurs documents d'urbanisme par le biais d'une procédure de modification simplifiée.","**Grand Poitiers**

Le Schéma directeur des énergies, publié en 2019 par le Grand Poitiers:

[https://www.grandpoitiers.fr/grands-projets/actions-pour-le-climat/schema-directeur-des-energies](https://www.grandpoitiers.fr/grands-projets/actions-pour-le-climat/schema-directeur-des-energies)

**Ville et Agglomération d’Annecy**

Le Grand Annecy et la Ville d’Annecy co-construisent le Schéma directeur des énergies (SDE):

[https://www.annecy.fr/652-schema-directeur-des-energies.htm](https://www.annecy.fr/652-schema-directeur-des-energies.htm)

**CC Vitry, Champagne et Der**

Projet urbain intégré, le SED (Système Énergétique Décentralisé) cible un ensemble de 33 actions autour de 7 thématiques, en vue d’assurer un optimum énergétique sur le territoire : réseau de chaleur, aménagements urbains, projets innovants et mobilité, énergies nouvelles, nouvelles filières, maîtrise de l’énergie, rénovation du bâti: [https://www.banquedesterritoires.fr/vitry-le-francois-sappuie-sur-les-industries-de-son-territoire-pour-alimenter-son-reseau-de-chaleur](https://www.banquedesterritoires.fr/vitry-le-francois-sappuie-sur-les-industries-de-son-territoire-pour-alimenter-son-reseau-de-chaleur)","**Outils**

-   Portail cartographique français des énergies renouvelables :

[https://macarte.ign.fr/carte/W3Cf8x/Portail-Cartographique-EnR](https://macarte.ign.fr/carte/W3Cf8x/Portail-Cartographique-EnR )

-   Fiches ADEME sur les énergies renouvelables, 2023 :

[https://librairie.ademe.fr/energies-renouvelables-reseaux-et-stockage/6363-energies-renouvelables-reussir-la-transition-energetique-de-mon-territoire-9791029721779.html](https://librairie.ademe.fr/energies-renouvelables-reseaux-et-stockage/6363-energies-renouvelables-reussir-la-transition-energetique-de-mon-territoire-9791029721779.html )

-   Le site Observatoire des Réseaux pour les réseaux de chaleur et de froid :

[https://www.observatoire-des-reseaux.fr/cartographie/](https://www.observatoire-des-reseaux.fr/cartographie/)

**Conseillers locaux**

-   Le réseau des Générateurs - les conseillers éolien et photovoltaïque à destination des collectivités :

[https://lesgenerateurs.ademe.fr/mon-conseiller-en-region/](https://lesgenerateurs.ademe.fr/mon-conseiller-en-region/)

-   Energie Partagée - les conseillers pour le développement de projets EnR citoyens :

[https://energie-partagee.org/monter-projet/se-faire-accompagner/les-reseaux-regionaux/](https://energie-partagee.org/monter-projet/se-faire-accompagner/les-reseaux-regionaux/ )

**Documents et web**

-   Guide méthodologique « Le Schéma directeur des énergies conjuguer mix énergétique, planification territoriale et urbaine », 2020 :

[https://librairie.ademe.fr/changement-climatique-et-energie/749-schema-directeur-des-energies-le-9791029713859.html](https://librairie.ademe.fr/changement-climatique-et-energie/749-schema-directeur-des-energies-le-9791029713859.html)

-   SDE - Guide d’accompagnement opérationnel du FNCCR, sous la forme d’un cahier des charges-type :

[https://www.fnccr.asso.fr/article/guide-operationnel-elaboration-dun-schema-directeur-des-energies/](https://www.fnccr.asso.fr/article/guide-operationnel-elaboration-dun-schema-directeur-des-energies/ )

-   Guide de réalisation du Schéma directeur d'un réseau de chaleur ou de froid existant : [https://librairie.ademe.fr/energies-renouvelables-reseaux-et-stockage/2534-guide-de-realisation-du-schema-directeur-d-un-reseau-de-chaleur-ou-de-froid-existant.html#/44-type\_de\_produit-format\_electronique](https://librairie.ademe.fr/energies-renouvelables-reseaux-et-stockage/2534-guide-de-realisation-du-schema-directeur-d-un-reseau-de-chaleur-ou-de-froid-existant.html#/44-type_de_produit-format_electronique )",10,,,"<p>Pas de réduction de potentiel</p>
","Cette action est orientée sur les énergies renouvelables et l'approvisionnement en énergie, non sur les émissions de gaz à effet d’origine non énergétiques. Il s’agit d’une action stratégique, de planification, et non de mise en oeuvre d’installations (évaluée dans le domaine 3 de Cit’ergie).

Liens vers d’autres actions :

-   1.1.1 : Définir la vision, les objectifs et la stratégie Climat-Air-Energie
    
-   1.1.2 : Réaliser le diagnostic Climat-Air-Energie du territoire
    
-   1.2.4 : Planifier la rénovation des bâtiments résidentiels et tertiaires et la construction durable sur le territoire
    
-   1.3.1 : Utiliser les documents d'urbanisme pour assurer la mise en oeuvre des objectifs climat-air-énergie et lutter contre l'artificialisation des sols
    
-   3.1.1 : Optimiser le service public de la distribution d'énergie
    
-   Sous-domaine 3.2 sur la production énergétique locale (récupération de chaleur, chaleur renouvelable, électricité)
    
-   6.2.2 : Prévenir et lutter contre la précarité énergétique",,,,,,,,,,x
